name,movie_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity
Avengers: Age of Ultron,m8,0.01621923937360179,0.015659955257270694,0.0098806860551827,0.02097315436241611,0.016871737509321402,0.015939597315436243,0.00848247576435496,0.025074571215510814,-0.00494034302759135
Avengers: Endgame,m10,0.015855855855855857,0.016396396396396395,0.01027027027027027,0.017297297297297298,0.016846846846846848,0.016036036036036035,0.007927927927927928,0.01963963963963964,-0.006936936936936937
Avengers: Infinity War,m9,0.021355415123120506,0.018849422532142078,0.012312050555676617,0.019612115929396382,0.01917629113096535,0.018849422532142078,0.009043364567443887,0.025059925909784266,-0.00751797777293528
Beauty and the Beast,m12,0.02001501125844383,0.01713785339004253,0.011758819114335751,0.0268951713785339,0.023142356767575683,0.019514635976982737,0.013009757317988492,0.02151613710282712,-0.007130347760820615
Captain America: Civil War,m6,0.016508302140320567,0.016988194644399653,0.009213936078318457,0.02274690469334869,0.015932431135425664,0.01718015164603129,0.009021979076686823,0.02409060370477013,-0.0014396775122372588
Captain America: The First Avenger,m4,0.01504049363671423,0.016711659596349144,0.00887003470883147,0.022496464841239235,0.01748296696233449,0.014269186270728885,0.007584522432189228,0.028666923769121996,0.001414063504306466
Captain America: The Winter Soldier,m5,0.017690575747828882,0.01576069475715664,0.009327758121582503,0.024766806046960438,0.013938029377077303,0.019620456738501126,0.007076230299131554,0.0275544119223759,-0.0038597619813444837
Captain Marvel,m11,0.020356943669827106,0.012409369771332961,0.009202453987730062,0.025655326268823202,0.01868377021751255,0.01687116564417178,0.011154489682097044,0.024121583937534857,-0.0016731734523145567
Cars,m23,0.01358946397114336,0.018035399714789027,0.009311299387635266,0.016273802533344518,0.018790369935408103,0.011324553309286134,0.01317003607079943,0.017532086234376312,0.005955876184883819
Finding Nemo,m24,0.009610520991401113,0.017905918057663128,0.008598887202832575,0.014061709661102682,0.019423368740515933,0.010723318158826505,0.008295397066262013,0.01588265048052605,0.0023267577137076377
Frozen,m20,0.01615057680631451,0.019429265330904676,0.009350333940497875,0.01991499696417729,0.028051001821493626,0.016514875531268975,0.010443230115361263,0.020643594414086218,0.00024286581663630845
Frozen II,m21,0.014561888024102436,0.026613105699221692,0.008536279186542806,0.021591765001255335,0.03766005523474768,0.018327893547577204,0.018327893547577204,0.02912377604820487,0.016570424303288978
Inside Out,m13,0.013628034814475493,0.021071919377004124,0.010077874484654145,0.015460375629867155,0.031149793861658268,0.02027027027027027,0.011566651397159872,0.025423728813559324,0.00538250114521301
Moana,m16,0.012229679343773303,0.014466815809097689,0.006413124533929903,0.014317673378076063,0.019686800894854587,0.013571961222967934,0.007307979120059657,0.017002237136465325,0.0017897091722595079
Monsters Inc.,m15,0.017194029850746268,0.020656716417910448,0.012417910447761193,0.020895522388059702,0.019343283582089553,0.015164179104477612,0.013492537313432836,0.017194029850746268,-0.004417910447761194
Monsters University,m14,0.019092772936955407,0.026140440799589954,0.011276268580215274,0.026140440799589954,0.01922091235263967,0.014351614556637622,0.022680676576114812,0.021014864172219375,-0.006791389031266018
Mulan,m18,0.017159396320033077,0.021294190614016953,0.011784163737854042,0.024188546619805663,0.02501550547860244,0.01612569774653711,0.01447178002894356,0.0328716146371718,0.00888980773206533
Rogue One: A Star Wars Story,m1,0.024950835791543755,0.016224188790560472,0.011922320550639135,0.028761061946902654,0.01376597836774828,0.016347099311701082,0.008972468043264504,0.02667158308751229,-0.0058997050147492625
Soul,m19,0.009291377601585729,0.01771555996035679,0.009663032705649157,0.012264618434093162,0.019945490584737362,0.01684836471754212,0.011149653121902874,0.018706640237859267,0.005946481665014866
Star Wars: Episode III - Revenge of the Sith,m2,0.022145099983473807,0.02321930259461246,0.015204098496116345,0.02875557759048091,0.021318790282597918,0.020409849611634442,0.012477276483225913,0.03858866303090398,0.0005784167906131218
Star Wars: The Rise of Skywalker,m3,0.01949370515770949,0.013537295248409367,0.010017598483822932,0.023284147827264113,0.012318938676052524,0.015161770678218492,0.008663868958981996,0.020035196967645864,-0.010017598483822932
Tangled,m22,0.012937764889582868,0.028329243809948695,0.01137631050635735,0.016283738567923266,0.03502119116662949,0.025429399955387018,0.01070711577068927,0.030336828016952932,0.005130492973455275
The Avengers,m7,0.017289865638995938,0.012082074783876679,0.008749088636600354,0.022289344859910427,0.014165191125924383,0.015831684199562546,0.006874283928757421,0.028434538068951153,-0.004999479220914488
Zootopia,m17,0.01679212507237985,0.017371163867979156,0.009071607797722448,0.02335456475583864,0.01833622852731133,0.014958502219648716,0.009843659525188187,0.027793862188766647,0.0026056745801968733
