term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
day,4.290159312421422,13.071174474509046,7.254467477490288,0.025,1.8290033732306985,0.025,2.5849068931337187,2.3675355581797577,6.168559310362247,4.7426416699291565,4.07876507718048,0.025,11.101357436212584,2.2728089204444797,0.025,19.226985428337347,3.3470027694540705,4.314952501310292,4.208214716915257,0.025000000000000005,7.645601291383715,3.2355278961662552,1.0759179463431514,3.1788209729020735,4.545188142820332,4.720801687043462,1.4849691877818416,5.542797300060398,7.20113922827232,3.015630625006757,20.255145109724726,0.025,2.1279473361722037,0.025,0.025,11.258645592403877,2.274278990506871,0.025,7.329053774292009,0.025
day daughter,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995205,0.025,0.025,1.0249999999994026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
day day,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996773,0.025,0.025,0.025,0.025,2.0249999999998134,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
day days,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996267,0.025,0.025,0.025,0.025,1.0249999999994726,0.025,1.02499999999939,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
day family,0.025,1.0249999999995971,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995942,0.025
day life,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,1.0249999999994261,1.1437315729511333,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.9062684270478663,0.025,0.025,1.0249999999996326,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999996127,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999583,0.025000000000000005
day moment,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999996118,0.025,0.025,0.025,0.025
day parents,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996393,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999642,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
day people,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996364,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996189,0.025,0.025,0.025,0.025,0.025,0.025,0.025
day school,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,11.024999999999347,0.025,0.025,0.025,0.025,1.0249999999994983,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
day time,1.0249999999995005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995643,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
daydreams,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025,2.0249999999986157,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
daylight,0.025,1.024999999999153,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,1.0249999999994774,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996886,0.025,0.025
days,0.025,1.0249999999995874,0.025,0.025,0.025,1.024999999999568,0.025,1.147474288409527,2.835546224707084,2.7856861314870067,0.025,0.025,3.0249999999997486,0.025,2.3168881637815364,4.740778381600829,1.0954667293550167,3.024999999999639,2.9293158977233316,1.3699403689124379,0.025,0.025,0.025,0.025,1.0249999999996533,0.025,1.0249999999994945,0.025,3.6800596310868885,0.025,3.0249999999998125,3.937784022350739,0.025,0.025,2.2144537752923488,1.12068410227579,3.0249999999997246,1.150922283012759,2.0249999999996224,0.025
days days,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999992778,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995685,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025
days gonna,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995612,0.025,1.024999999999654,0.025,0.025
days parents,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996533,0.025,0.025,0.025,1.024999999999646,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
days stones,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999993886,1.0249999999995878,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
days way,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.0249999999997246,0.025,1.024999999999499,0.025
days year,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996267,0.025,0.025,0.025,0.025,1.0249999999994726,0.025,1.02499999999939,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
dead,14.948699967827336,0.025,1.024999999999581,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994204,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,4.061771682002219,0.025,0.025,0.025,0.025,0.025,1.0645283501691514,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,1.0249999999995931,1.0249999999996253,0.025,0.025,0.025,0.025
dead dead,5.020143149792227,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0298568502071177,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
deal,0.025,1.0249999999995791,0.025,0.025,1.1315535176534421,0.025000000000000005,1.0684502552171935,0.025,0.025,1.1934402460143085,1.0249999999994337,1.9184464823457303,0.025,9.579347872660438,3.3576712395964363,1.879134794253871,0.025,1.0249999999994106,0.025,1.0637949076427216,0.02500000000000001,0.025000000000000005,1.0249999999996307,0.025,0.025,1.0249999999996735,1.0249999999996255,0.025,1.024999999999681,0.025,0.025,0.025,0.025,3.809570963443474,0.025,5.158183873695168,0.025000000000000005,1.0249999999995092,1.1154058474723307,0.025000000000000005
deal deal,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999601,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996298,0.025,0.025,0.025,0.025
dear,0.025,2.0249999999996238,0.025,0.025,0.025,1.0249999999995119,0.025,0.025,0.025,0.025,0.025,0.025,0.025,5.018358715305031,0.025,1.024999999999349,0.025,0.025,0.025,0.025,0.025,1.074129704597432,0.025,2.1179505431807875,4.932049456818642,0.025,0.025,5.024999999999735,5.982511580096114,0.025,1.0249999999997765,0.025,0.025,0.025,1.024999999999629,0.025,0.025,0.025,0.025,0.025
dear thats,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999349,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999629,0.025,0.025,0.025,0.025,0.025
death,0.025,0.025,1.9697878677159564,0.025,0.025,0.025,0.025,0.025,0.025,3.0249999999994213,2.024999999999737,1.039295263269343,5.758642550050528,0.025,0.025,0.025,1.024999999999596,0.025,0.025,1.1734793207833816,1.0249999999995247,0.025,0.025,5.024999999999677,4.024999999999719,0.025,1.024999999999595,0.025,7.229196263850966,1.0249999999996178,0.025,3.9243866020439566,0.025,0.025,0.025000000000000005,0.025,1.0802121322832903,0.025,0.025,0.025
death power,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994874,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999518,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025
debt,0.025,0.025,1.0249999999996031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996129,0.025,1.0249999999995205,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995627,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
deception,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999993948,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995785,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
decision,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996617,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.02499999999942,0.025,0.025,0.025,6.02499999999954,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996189,2.0249999999997357,0.025,0.025,0.025,0.025,0.025,0.025
deck,1.0249999999996593,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.02499999999953,0.025,0.025,0.025,0.025,2.0249999999996624,0.025000000000000005,1.0249999999988602,0.025,0.025,0.025,1.0249999999995731,0.025,1.0249999999989943,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025
decontamination,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994053,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994368,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
decryption,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996042,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999729,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
deep,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999416,0.025,0.025,0.025,0.025,0.025,0.025,0.025,4.024999999999388,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
defense,1.0249999999996848,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999685,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,1.024999999999566,0.025,0.025,0.025,0.025,0.025,2.0249999999996833,0.025,0.025,0.025,0.025,0.025,1.024999999999291
defenses,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996255,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999989636,0.025,0.025,0.025,0.02500000000000001,0.025,0.025,0.025,0.025,0.025,0.025
definition,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000015,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999984074,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999546,0.025,0.025,0.025,0.025,0.025,0.025
degrees,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999645,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,6.024999999999467,0.025,0.025,0.025,1.0249999999997121,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
delay,0.025,1.0249999999995316,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994726,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995514,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
delays,0.025,2.0249999999996473,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994726,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
deliver,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02500000000000001,0.025,0.025,0.025,0.025,0.025,1.0249999999995327,0.025,0.025,0.025,0.025,0.025,1.0249999999988955,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
demigod,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,1.3368859789379448,0.025,0.025,0.025,1.2982708843380721,0.025,0.025,0.025,0.025,1.0249999999995265,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999667,0.025,0.025,1.6260140886429058,0.025,2.8388290480791056,0.025,0.025,0.025
demigod wind,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999615,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999667,0.025,0.025,0.025,0.025,2.0249999999996673,0.025,0.025,0.025
demo,0.025,0.025,0.025,0.025,3.024999999999213,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025
democracy,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999512,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999996113,0.025,0.025,0.025,1.1588286703784298,0.025,0.025,0.025,0.025,0.025,3.8911713296205575,0.025,1.0249999999995545,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
demonstrate,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999996597,0.025
demonstration,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999596,0.025,1.0249999999993777,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
dentist,0.025,1.0249999999994122,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0470646198731162,0.025,0.025,0.025,0.025,0.025,0.025,3.0029353801260883,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
dentist dentist,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999708,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
department,0.025,0.025,0.025,1.02499999999974,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995718,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
depth,0.025,0.025,0.025,0.025,1.0249999999996975,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999995225,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
der,1.02499999999968,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999997343,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
desert,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.024999999999369,1.0249999999996025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
design,0.025,0.025,1.0249999999996036,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999992623,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994428,0.025,0.025,1.0249999999991313,0.025,0.025,0.025,0.025,2.0249999999996753,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025
designs,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999995802,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
desk,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.0249999999991664,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995165,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995931,0.025,0.025,0.025,1.024999999999681,0.025,0.025
dessert,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999994723,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999629,0.025,0.025,0.025,0.025,2.0249999999997192
destiny,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995265,0.025,0.025,0.025,0.025,4.024999999999535,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
destroy,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999988555,0.025
destroyed,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999534,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996169,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
destroyer,0.025,0.025,0.025,0.025,0.025,1.024999999999413,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999995905,0.025,0.025,0.025,0.025,0.025
destroyers,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999524,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
destruction,1.0249999999996848,0.025,0.025,0.025,0.025,0.025000000000000005,1.0249999999996617,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999333,0.025,1.0249999999996326,0.025,0.025,0.025,1.0249999999991994,2.0249999999995003,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025
details,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999418,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999499,0.025
detention,0.025,0.025,0.025,0.025,0.025,2.02499999999876,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02500000000000001,0.025,1.0249999999994797,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
deterrent,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999995474,0.025,0.025,0.025,0.025,0.025,1.024999999999333,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025
development,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999665,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995305,0.025,0.025,1.0249999999994195,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.02499999999951,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
device,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999207,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,1.0249999999989206,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
devil,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995638,0.025,0.025,3.0249999999996344,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999525,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
diagnostics,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,4.024999999999485,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
dialect,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999755,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995956,0.025
dickens,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999387,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996429,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
did,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,1.2897463458332195,0.025,0.025,0.025,0.025,2.0249999999996375,2.689111298289694,1.0249999999992472,1.0249999999995654,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999471,0.025000000000000005,0.025,0.025,1.0961423558757093,0.025,1.024999999999502,0.025,0.025,0.025,0.025,0.025
didnt,0.025,0.025000000000000005,0.025,0.025,1.0543155563643745,1.0433377225002962,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,2.049777968032054,1.0249999999994026,0.025,1.024999999999082,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,1.4342177072537146,2.0249999999997392,0.025,1.0249999999996202,1.024999999999629,0.025,3.9956844436344445,0.025,0.025,1.056233687770942,5.037018578116824,1.0249999999996326,0.025,9.529414336323155,0.025,0.025,0.025
