term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
achievement,0.025,0.025,0.025,1.0249999999997363,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995285,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
act,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.3253318359080386,0.025,0.025,0.025,0.025,0.025,1.0249999999995445,0.025,0.025,1.0249999999996555,4.724668164091399,0.025,0.025,0.025,1.0249999999996229,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999437,0.025
act love,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.3253318359080386,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,4.724668164091399,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
action,0.025,0.025,0.025,1.0249999999992392,0.025,1.0249999999995685,1.0249999999996096,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,1.0249999999989294,2.0249999999996393,0.029506995297467278,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.020493004701834,0.025,0.025
actions,0.025,0.025,1.0249999999995942,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,1.0249999999995003,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999991743,0.025,0.025,1.0249999999991881,0.025,0.025,0.025,0.025,1.0249999999995738,0.025,0.025
actor,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999996744,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
acts,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994934,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995951,0.025,0.025,0.025
actually,1.024999999999734,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996566,0.025,0.025,0.025,2.0249999999990127,0.025,0.025,0.025,0.025,0.025,0.025,0.02500000000000001,0.025,0.025,0.025,0.025,1.075274979344907,0.025,0.025,0.025,3.9747250206543177,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
actually shes,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999412,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
advantage,0.025,0.025,0.025,0.025,0.025,1.0249999999995685,0.025,0.025,1.0249999999995736,1.0249999999991364,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,2.0249999999993817,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994108
adventure,0.025,0.025,1.0249999999995778,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995514,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995645,0.025,0.025
afraid,1.0249999999997395,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995456,2.0249999999995554,0.025,0.025,1.024999999999505,0.025,1.0249999999994361,1.0249999999996298,0.025,1.1375954385763698,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.9124045614229639,0.025
afternoon,0.025,0.025,0.025,1.0249999999997026,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999997272,0.025,0.025,0.025,0.025,1.0249999999994162,0.025,0.025,0.025,1.0249999999994805,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995283,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
