term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0,-0.0031853075836579333,-0.00452091927595742,-8.020905807821798e-05,0.0003805693694772016,-0.0007004115848320959,-0.02187912049013643,-0.02206121350709252,-0.019238488205873736,0.028070452946207417,-0.003788262994914371
1,0.012082904613866408,-0.030293293398609922,-0.019349504978047785,-0.0054960230505253175,0.013139808317140747,0.011721799293946344,-0.0048380509439329145,0.004779553178570539,-0.007161236042450059,-0.020601367977839916
10,-0.013717929813601648,-0.010198571750226593,-0.010823134244761268,-0.009567317051879867,0.007427067874293335,0.022249219974710244,-0.017965379046700758,0.00749776572842259,-0.0015935675043486641,-0.005502322819125546
100,-0.0018604877653931595,-0.04018969903827105,0.009311310676956475,-0.02467872222824532,0.008385208775800726,-0.0023197241897995324,-0.03303250607287023,-0.0009159055163884822,0.0011766693181690657,0.02516397702826812
11,-0.019907198730541198,-0.015839341695093934,0.02080661967430668,0.0021704466579381323,0.017419860117529083,0.017134355250329192,0.0037207945696727503,-0.005650163909448211,-0.016087013944083378,0.004409366967123383
117,-0.007705098078613942,-0.008270366634055448,0.005930172690032757,0.0010309665763896178,0.0006531760895667014,0.0064360425764474205,-0.0031789786297518607,-0.006683781881825737,-0.0033087111534179873,0.002331445923053956
12,-0.010556639526672268,0.017458859199741175,-0.021098970410869645,-0.01249643522611842,-0.01043074177545316,0.001438847518957953,-0.01821798545925569,0.0071764603150753226,-0.03878028076914436,0.001560710650896635
13,-0.023624948189989198,-0.020813825440423834,0.008896314083733162,0.003613436636587468,-0.02442607197820682,0.003234989486722961,0.0015028324746037547,0.004199881544021955,0.005920866608545738,-0.0008433201253976175
14th,0.0024724509074846696,-0.013205216863709455,0.011167224335299625,-0.01595995514278363,0.00253851737330835,-0.0037733002285352257,-0.019691318189333507,-0.004158335474914038,-0.01870624378737438,0.00718191402709234
15,0.013718795270943123,-0.004232401260203022,-0.019365939998201354,-0.010606315021918444,-0.021581439296034587,0.0033316628536200488,-0.03373818638362641,0.02234355670945479,-0.02701075803197417,-0.02749480008495757
16,-0.008312529006947433,-0.00029682593845942716,-0.015874710331701736,-0.009213023648809798,0.0061558872097988646,0.010559599356333431,-0.018677155682040557,0.013599741611082586,0.005868765137386767,0.011694166283707279
18,-0.007709253688696203,-0.02051595013392766,-0.006961675265310219,0.006805395276767108,0.004697385968366736,0.00986985478385144,0.012087756296069896,0.004804951092552037,-0.0012264930558193998,-0.018110598214068546
1991,-0.00812432255156262,-0.008720346641821593,0.006252825756237562,0.0010870601413521253,0.0006887145602126957,0.0067862193723112335,-0.0033519427668693424,-0.007047437854549754,-0.0034887338702320747,0.0024582968960498285
2,0.015739399819975568,-0.01464411404425021,-0.05011818762284341,-0.005131238643424463,0.0073821139280106675,-0.009527150506969666,-0.018124733547117154,-0.004581396123292308,-0.0028536041146313,0.0008891743846350525
20,-0.01937577026417131,0.005984882741561083,-0.03029448695660128,-0.006694243053526283,0.006367397699624484,-0.009496600751286458,-0.03801627824221293,-0.0006598153312120936,0.023281065648678267,-0.0025802857707855203
22,-0.005806597367385274,-0.019568669502809145,0.0034198793289600005,-0.015119806594625196,0.006981867932753599,-0.006566478424772919,-0.014921100807446797,-0.025238160663758613,-0.008055007319204999,0.008559523026345273
22s,0.005615892999860001,-0.006957953778877178,0.003336293896224248,-0.010219439820600987,-0.003533862519928932,-0.013468381465419253,-0.01866604133657404,0.000998797085984937,-0.021336813813102345,-0.005475293548262067
2319,0.008400632070453074,-0.005309009817011651,-0.018549515403519828,0.004184995160280987,-0.001745834153140266,0.005903603982962932,0.010292924171136128,-0.016017833820531346,0.004597471463398534,0.005750476461135301
29thd03,0.004335001401399864,-0.006672334113097217,0.0002552229364272908,0.008114177399240807,-0.004678757261489697,-0.005512141096252176,-0.009729706386904624,-0.003457450915521132,0.01109299416117987,0.00018972901695057942
3,0.000267228099659813,-0.02186377163827815,-0.026241219643244745,0.004689099583530296,-0.005980143294905871,0.03123026238382599,0.007764513635140337,0.010978269789744866,0.008933027819577305,-0.0001207431131887704
30,-0.012789887465048742,-0.023374774743678554,-0.0006343273775598668,0.001051398798089992,-0.02058902746883018,-0.002698452296785926,0.009331212670285291,0.010637385744362446,0.0094574536496162,0.020784386167720992
3000,-0.010539562631431023,-0.013729852092231636,0.013148681599628962,-0.004302792533236117,0.006622588980880528,0.015925312664462857,-0.0034793652125809926,-0.01139215563412782,2.6326642968116376e-05,0.014671464241727716
33,-0.008312292459931907,-0.001907213789285225,-0.018376591158687918,0.006959807852698234,-0.011424660446705481,-0.009144891014860459,-0.008043959316365288,-0.0027599712553284805,-0.011845490856843971,-0.00954349805874155
36,-0.0019468551784600887,0.007333774795973118,-0.007459137864644899,0.0031488322122508487,-0.013305814877734082,0.010242310674119,-0.0070522673391600075,0.00016037710784220366,-0.003265425316739054,0.017782419712573938
3po,-0.007199324014779422,0.015684060731205398,-0.014403873895834418,-0.002701484850571406,0.005683558443070289,-0.0045129539660601755,-0.0032757404746699983,0.0036706279722145832,0.004937114805271243,0.018611761455043625
4,0.01927600563834155,0.015714758198558512,-0.026269747612661452,0.0222347709795353,-0.009334676332594027,0.016294299009584637,0.020629709013201585,0.005730040719330618,-0.0101467305371733,-0.012793358635582192
40,-0.01692998591186145,-0.01000647077892613,-0.016410998117535307,-0.005446627441267711,-0.010535608740963175,0.014345632241716913,-0.013382353411103262,0.020577108534236336,-0.0023631488378109983,-0.016428871979878613
400,0.003382767248266841,-0.019143527322816413,0.0015194527637655843,-0.012554735395249449,-0.005757716410659069,-0.0040776972199629054,-0.027122909630764896,0.024823275742911616,-0.016690398116423043,-0.022582759250498054
42,0.007954630787574515,0.0025614654445121152,-0.027121104076203235,-0.010966020168678106,0.0065592769876991735,-0.0018232004711075328,-0.005624498141834758,0.02380306946818343,0.011675049975107238,0.029069064979327906
47,0.001880620376573126,-0.005281908093786023,-0.002116522691903092,-0.001872135189309749,0.0049687225510505915,-0.025696618814614075,-0.021159540743603943,-0.031420178071470545,0.007248346833899733,-0.0027405054529823485
48,0.010570539742069309,-0.016433226832988826,-0.00187287950073099,0.0003578670300259249,0.0031994801644210664,-0.0019252773559922526,-0.0014338189344795822,-0.0009673957463527082,0.017981540611552164,0.03477100302936887
5,-0.002018530458703753,0.02960824207327128,-0.03286390615035531,0.02086742384875553,0.014155680315929575,0.0031874723348471515,0.012329270128755286,-0.031152844708529977,-0.003494200134724437,-0.019970959388559657
50,-0.02111368389640494,-0.003525232547631001,-0.019828841015491122,-0.0044458682976129486,0.02736150675951568,-0.0013493316180320548,0.00346953996992678,-0.005683489519378981,-0.002948301616170933,-0.02495154083957831
6,-0.01912435111633773,0.025815755663658024,-0.013793718024065333,0.017070544773062652,0.035412217673012045,-0.005670007726606001,-0.003285746078389741,-0.02993607193164771,0.009233880787857175,-0.01313921936911571
60,-0.0077714870559953235,0.0022365576185756036,-0.020970845457786564,-0.011500921419301901,-0.007806966368287477,0.005892457263543621,-0.011689615104066792,0.030054758313426376,0.01180624152313252,0.010548759001337053
630,0.005841391729130518,-0.007237341177372657,0.0034702583492667613,-0.010629787862036166,-0.003675760078817714,-0.014009186446186962,-0.019415551450462108,0.0010389024572402192,-0.022193565250791105,-0.005695146693175446
7,0.006385717304273535,-0.017333774128465027,-0.010264106883541832,0.017693298565710773,0.015464015546486971,-0.005963125687860001,0.006404263783042179,-0.005500368975530814,-0.007249970652449355,-0.02624002528692913
70,-0.014245245424846013,-0.028259608004406127,0.02558308628386225,-0.017962599136634606,0.008032020535144525,0.013356137963377144,-0.014172193582543745,-0.006815965555687754,-0.030020015221282493,0.017576407160643934
7th,0.006097208824015163,-0.0075542922877478505,0.0036222343595352573,-0.011095307309489974,-0.0038367358031757923,-0.01462270280402488,-0.02026583340345479,0.0010844000065920877,-0.02316550715279998,-0.005944559153347306
8,-0.025655795184316467,0.01777168493445069,-0.03899835032849762,0.0031601822575208446,0.025194248784473173,-0.016377153921966477,-0.0014552523166096148,0.0013980751659543327,0.013589668787714395,-0.02265730118451131
9,-0.01332708735968894,0.006957666622059094,-0.017596048170894864,0.0018946711334010078,0.0009086988406215603,-0.021097885048611324,-0.023333771161134453,-0.014556848835777602,0.019806685497136538,-0.014473022214553455
a,0.004261726823590946,0.0014854685120948724,0.001854124221970325,-2.130587310441117e-05,-0.00032798974245045837,3.8315696583632276e-05,-0.0002514391112859206,0.0001043240759880736,0.0021378569398344503,-0.0005984226068138322
aaaaah,0.00859751698885998,-0.005433436640597966,-0.0189842588604503,0.004283078545406656,-0.0017867511236622816,0.006041966260794448,0.010534158582857422,-0.0163932424657811,0.004705222021494353,0.0058852499019141
aaaah,0.015154427226487795,-0.013899136441963004,-0.026158569449958306,-0.0034884108684089627,-0.002000407036468919,0.01526891567918671,-0.0022850106201557363,0.0006101836425231046,0.008889055780590106,-0.0038446755737262697
aaah,0.03233326731100313,-0.0026330570936510538,-0.017475434371089928,-0.028517543776660593,-0.021702295177797794,0.028601289846788013,0.00418781562315312,-0.020999827311131432,0.0002420462706086606,-0.016387707115640016
aah,0.040029990233476934,-0.021326421333015703,-0.009327850877357224,-0.026246886306477688,0.0005577482949504303,-0.014528386400535387,0.004368031719850088,0.011695504772856023,-0.024331803123225484,0.018733778463806725
abilities,-0.03562910683815076,0.00387589429319309,-0.008959837427475852,0.007631953633525063,-0.005783517540621374,0.0002590308879336773,0.0040670127541743714,0.0012716333606337712,-0.003324872612427779,0.01736510935586733
ability,-0.006327987613844607,-0.002595731788285805,-0.010764470621671272,0.002258314208211395,0.03175158975227108,0.01448129749754129,0.008617207085364896,-0.00439657974541411,-0.02989249045483668,-0.008090030812586838
able,-0.02194580550018023,-0.002401120792012817,-0.002500799331788559,-0.0018971347874498963,-0.04048947502020276,-0.011223270534639306,0.00609801132433901,0.013927378239034649,-0.018043072255128276,0.011316990864072923
